Date (Months),Monthly Rainfall Total (mm),Mean Wind Speed (km/h),Max Wind Speed (km/h),MeanTemperature (°C),MaximumTemperature (°C),MinimumTemperature (°C)
1993-03,250.5,7.032258065,37.9516129,26.67741935,30.67419355,24.02258065
1993-04,283.9,5.2,39.15666667,27.59333333,31.85,24.39
1993-05,129.9,5.022580645,31.58387097,28.18387097,31.88064516,25.42903226
1993-06,115.5,7.513333333,36.05333333,28.45333333,31.92,25.40333333
1993-07,240,7.280645161,35.40967742,27.87741935,31.14516129,25.18709677
1993-08,106.8,9.806451613,38.88709677,28.56774194,32.08064516,25.42903226
1993-09,61.7,6.62,35.78333333,27.86666667,31.68,24.93
1993-10,175.5,4.75483871,33.46129032,27.50322581,31.59677419,24.66129032
1993-11,250.8,3.59,33.76,26.86666667,30.92666667,24.17
1993-12,308.5,5.561290323,34.30322581,26.51612903,30.33225806,23.97741935
1994-01,56.9,10.88387097,39.78064516,26.92580645,30.85806452,24.15483871
1994-02,133.5,7.807142857,36.925,27.03571429,31.625,24.00714286
1994-03,288.2,5.8,36.08709677,26.81612903,30.5,24.17096774
1994-04,154,5.113333333,33.29666667,27.85666667,31.95,24.81
1994-05,169.6,5.912903226,33.82580645,28.06774194,31.13870968,25.08709677
1994-06,184.7,9.33,37.09666667,28.07666667,31.32,25.20333333
1994-07,53.8,12.3516129,37.03548387,28.42903226,31.64516129,25.72258065
1994-08,45.1,11.94193548,37.36129032,28.14516129,31.86451613,25.20967742
1994-09,23.7,8.656666667,32.23,28.35666667,31.93666667,25.50333333
1994-10,84.7,5.532258065,34.16129032,27.86129032,32.1483871,24.63870968
1994-11,322.2,4.533333333,31.77333333,26.68333333,30.55333333,24.03
1994-12,425.4,6.696774194,33.50322581,26.87741935,30.7516129,24.14516129
1995-01,349.4,7.596774194,37.52258065,26.79032258,30.56774194,24.07419355
1995-02,334,7.367857143,36.71428571,26.46428571,29.85,23.85
1995-03,67.7,5.980645161,30.76129032,27.58387097,31.81612903,24.60645161
1995-04,242.3,4.466666667,31.32666667,27.95333333,32.02,24.99333333
1995-05,84.4,5.687096774,31.24193548,28.51290323,32.29677419,25.6483871
1995-06,63.7,6.41,34.57333333,28.86333333,32.67333333,25.8
1995-07,173.6,8.258064516,34.51935484,28.02580645,31.2,25.16129032
1995-08,211.6,7.922580645,35.5,27.38064516,30.63870968,24.62258065
1995-09,29.5,7.373333333,32.71333333,28.3,31.98666667,25.13333333
1995-10,101.1,5.312903226,34.13225806,27.80967742,32.10322581,24.79032258
1995-11,372.8,4.136666667,31.93666667,26.98333333,31.02666667,24.14666667
1995-12,302.5,6.858064516,33.56451613,26.28709677,29.52903226,23.8516129
1996-01,173.2,7.861290323,32.29677419,26.16129032,30.05806452,23.40967742
1996-02,180.2,10.74827586,37.48965517,26.49310345,30.18275862,23.97241379
1996-03,129.7,9.970967742,35.21612903,27.76129032,32.42258065,24.46774194
1996-04,178.2,4.46,31.74666667,27.81,31.74,24.89666667
1996-05,107.5,5.6,33.29354839,28.53548387,32.39677419,25.23870968
1996-06,265.8,5.603333333,34.03333333,28.3,31.98333333,25.25666667
1996-07,162.3,7.883870968,33.85483871,28.34193548,31.54193548,25.39354839
1996-08,258.4,6.229032258,32.82580645,27.4516129,31.44193548,24.33870968
1996-09,297,5.933333333,33.92,27.72333333,31.09333333,24.61666667
1996-10,300,5.441935484,33.60322581,27.48709677,31.20322581,24.42903226
1996-11,180.2,4.59,32.24666667,27.31,31.48,24.58666667
1996-12,185.5,6.64516129,33.52258065,26.61612903,30.75483871,23.88709677
1997-01,15.4,11.50645161,35.03870968,27.08064516,31.49354839,24.02903226
1997-02,105.4,8.128571429,31.06785714,27.38214286,31.95714286,24.48571429
1997-03,34.3,9.080645161,33.08709677,28.06451613,32.76451613,24.94516129
1997-04,118.4,4.816666667,30.75333333,28.07333333,32.52333333,25.04666667
1997-05,41.6,6.338709677,30.51290323,29.35483871,33.58709677,26.32258065
1997-06,78.9,9.846666667,37.34333333,29.26666667,33.17333333,26.03333333
1997-07,18.6,13.04193548,33.56774194,28.81612903,32.40322581,26.02580645
1997-08,86.6,12.39354839,35.90645161,28.77419355,32.59032258,25.90967742
1997-09,31.1,10.38333333,30.96,28.78666667,32.24,26.31
1997-10,78.4,3.890322581,27.5483871,28.19032258,32.39677419,25.1483871
1997-11,158.3,3.503333333,29.25666667,27.79333333,32.01333333,24.83666667
1997-12,351.9,4.816129032,30.42903226,27.33548387,31.29354839,24.60322581
1998-01,268.8,7.383870968,34.02258065,28.04193548,31.8483871,25.28709677
1998-02,32.5,9.535714286,33.56785714,28.92142857,33.11071429,25.9
1998-03,58.8,7.338709677,33.36774194,29.47419355,34.09032258,26.32258065
1998-04,187.7,6.24,33.96333333,29.24666667,33.16,26.27
1998-05,370.8,5.380645161,33.98064516,29.39354839,33.06774194,26.34193548
1998-06,198.8,4.206666667,33.92333333,28.58333333,32.43,25.37333333
1998-07,259.2,4.451612903,30.71935484,28.13225806,31.53548387,24.86774194
1998-08,195,4.35483871,32.50645161,27.46451613,30.94193548,24.6516129
1998-09,258.2,4.906666667,34.06333333,27.89666667,31.15666667,24.85333333
1998-10,222.7,4.5,35.76129032,28.02580645,31.85483871,24.64193548
1998-11,107.2,3.73,32.69,27.95666667,31.74666667,24.95666667
1998-12,463.4,3.174193548,29.11612903,26.60322581,30.38064516,24.17741935
1999-01,193.9,6.303225806,32.5483871,26.58387097,30.39032258,24.26774194
1999-02,67.4,8.925,35.80714286,27.22142857,31.31428571,24.54285714
1999-03,181.4,3.377419355,30.71612903,27.12580645,31.45806452,24.40967742
1999-04,88.5,3.426666667,30.99,28.30666667,32.45,25.39666667
1999-05,157.1,4.519354839,29.59677419,28.0516129,31.67096774,25.28387097
1999-06,103.4,5.343333333,33.99666667,28.22333333,31.79,25.33666667
1999-07,225.4,6.74516129,31.8483871,27.76451613,31.16451613,24.74516129
1999-08,204,5.993548387,33.36774194,27.50967742,31.01612903,24.47741935
1999-09,125.9,5.846666667,32.11,27.91,31.86333333,24.87666667
1999-10,205,3.14516129,30.74193548,27.17419355,31.06774194,24.3483871
1999-11,241.5,2.57,28.55666667,27.28666667,31.34333333,24.53666667
1999-12,340.5,6.090322581,32.99354839,26.78387097,30.63548387,24.08064516
2000-01,275.2,6.529032258,31.27741935,26.36129032,29.79677419,23.95806452
2000-02,237.8,5.903448276,29.97586207,26.57586207,31.02758621,23.81034483
2000-03,238.3,4.583870968,30.67741935,27.22903226,31.88709677,24.25806452
2000-04,311.6,3.473333333,33.35,27.51333333,31.91666667,24.56333333
2000-05,96.8,4.103225806,28.3,28.62580645,32.70645161,25.66451613
2000-06,157.5,4.136666667,28.42,27.62666667,31.09,24.67333333
2000-07,116.1,7.716129032,34.26129032,28.12580645,31.62903226,25.27741935
2000-08,113.5,7.529032258,33.16774194,27.54193548,30.69354839,24.77096774
